"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://lotogreen.bet.br/play/pgsoft/fortune-tiger","text/html;charset=utf-8","200","OK","Indexable","","Jogos de Cassino Fortune Tiger - Pgsoft | Lotogreen","51","463","Experimente Fortune Tiger na Lotogreen. Sua plataforma de cassino online com alta tecnologia, pagamentos rápidos e 100% regulamentada. Segurança máxima para sua diversão. Proibido para menores de 18 anos. Jogue com responsabilidade.","232","1516","","0","","0","Apostas","7","Comunidade","10","index, follow","","","https://lotogreen.bet.br/play/pgsoft/fortune-tiger","","","","","","170814","48973","48973","7,258","","69","41","1,683","35,927","Hard","1,177","1","2","","69","67","0","100,000","54","38","0","14","12","0","","","","","aaa8d63473a05c3fb62a6bb9a8965281","0,483","","","","","pt-BR","1.1","","","","","","https://lotogreen.bet.br/play/pgsoft/fortune-tiger","2026-09-02 12:19:20"
"https://lotogreen.bet.br/_nuxt/Game.UhQdtgvQ.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,015","Mon, 27 Jul 2026 21:51:05 GMT","","","","","1.1","","","","","","https://lotogreen.bet.br/_nuxt/Game.UhQdtgvQ.css","2026-09-02 12:19:21"
"https://lotogreen.bet.br/vip","text/html;charset=utf-8","200","OK","Indexable","","Apostas Online | Lotogreen","26","241","Apostas online","14","92","","0","","0","Visão Geral","11","Apostas","7","index, follow","","","https://lotogreen.bet.br/vip","","","","","","172375","48969","48969","7,257","","104","49","2,122","24,092","Very Hard","1,298","1","0","","71","67","0","100,000","51","36","0","14","12","0","","","","","51074f0f72f21075fdcdd33e6f1205db","0,547","","","","","pt-BR","1.1","","","","","","https://lotogreen.bet.br/vip","2026-09-02 12:19:20"
"https://lotogreen.bet.br/play/pgsoft/fortune-mouse","text/html;charset=utf-8","200","OK","Indexable","","Jogos de Cassino Fortune Mouse - Pgsoft | Lotogreen","51","477","Experimente Fortune Mouse na Lotogreen. Sua plataforma de cassino online com alta tecnologia, pagamentos rápidos e 100% regulamentada. Segurança máxima para sua diversão. Proibido para menores de 18 anos. Jogue com responsabilidade.","232","1527","","0","","0","Apostas","7","Comunidade","10","index, follow","","","https://lotogreen.bet.br/play/pgsoft/fortune-mouse","","","","","","170783","48563","48563","7,197","","69","41","1,683","35,927","Hard","1,178","1","2","","1","1","0","1,490","54","38","0","14","12","0","","","","","d87b75c00ef5aa3dc1447c5c8dbb3f09","0,380","","","","","pt-BR","1.1","","","","","","https://lotogreen.bet.br/play/pgsoft/fortune-mouse","2026-09-02 12:19:21"
"https://lotogreen.bet.br/play/evolution-oss/football-studio","text/html;charset=utf-8","200","OK","Indexable","","Jogos de Cassino Football Studio - Evolution Oss | Lotogreen","60","539","Experimente Football Studio na Lotogreen. Sua plataforma de cassino online com alta tecnologia, pagamentos rápidos e 100% regulamentada. Segurança máxima para sua diversão. Proibido para menores de 18 anos. Jogue com responsabilidade.","234","1527","","0","","0","Apostas","7","Comunidade","10","index, follow","","","https://lotogreen.bet.br/play/evolution-oss/football-studio","","","","","","170886","48789","48789","7,231","","69","41","1,683","35,927","Hard","1,182","1","2","","68","67","0","100,000","54","38","0","14","12","0","","","","","4f2a349aa022f1c7583e65ee4aca5b02","0,372","","","","","pt-BR","1.1","","","","","","https://lotogreen.bet.br/play/evolution-oss/football-studio","2026-09-02 12:19:22"
"https://lotogreen.bet.br/promotions/cashback-diario-de-ate-25-em-slots-e-crash","text/html;charset=utf-8","200","OK","Indexable","","Apostas Online | Lotogreen","26","241","Apostas online","14","92","","0","","0","Apostas","7","Comunidade","10","index, follow","","","https://lotogreen.bet.br/promotions/cashback-diario-de-ate-25-em-slots-e-crash","","","","","","184769","50857","50857","7,537","","69","41","1,683","35,927","Hard","1,101","1","1","","11","11","0","16,420","53","36","0","14","12","0","","","","","1afbc6e7650547d2c47de16990d6c4e3","0,395","","","","","pt-BR","1.1","","","","","","https://lotogreen.bet.br/promotions/cashback-diario-de-ate-25-em-slots-e-crash","2026-09-02 12:19:22"
"https://lotogreen.bet.br/gt_logo.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1398","1398","1398","0,207","","0","","","","","0,000","1","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,010","Mon, 27 Jul 2026 21:51:05 GMT","","","","","1.1","","","","","","https://lotogreen.bet.br/gt_logo.webp","2026-09-02 12:19:22"
"https://lotogreen.bet.br/_nuxt/Alerts.CECIyeq-.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,041","Mon, 27 Jul 2026 21:51:05 GMT","","","","","1.1","","","","","","https://lotogreen.bet.br/_nuxt/Alerts.CECIyeq-.css","2026-09-02 12:19:22"
"https://lotogreen.bet.br/play/spribe/aviator","text/html;charset=utf-8","200","OK","Indexable","","Jogos de Cassino Aviator - Spribe | Lotogreen","45","405","Experimente Aviator na Lotogreen. Sua plataforma de cassino online com alta tecnologia, pagamentos rápidos e 100% regulamentada. Segurança máxima para sua diversão. Proibido para menores de 18 anos. Jogue com responsabilidade.","226","1478","","0","","0","Apostas","7","Comunidade","10","index, follow","","","https://lotogreen.bet.br/play/spribe/aviator","","","","","","170766","48863","48863","7,241","","69","41","1,683","35,927","Hard","1,174","1","2","","68","67","0","100,000","54","38","0","14","12","0","","","","","44dd5356842690fc8a84d0d201b55b1a","0,490","","","","","pt-BR","1.1","","","","","","https://lotogreen.bet.br/play/spribe/aviator","2026-09-02 12:19:22"
"https://lotogreen.bet.br/IBIA-WHITE.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,044","Mon, 27 Jul 2026 21:51:05 GMT","","","","","1.1","","","","","","https://lotogreen.bet.br/IBIA-WHITE.svg","2026-09-02 12:19:22"
"https://lotogreen.bet.br/sports","text/html;charset=utf-8","200","OK","Indexable","","Esportes - Apostas esportivas | Lotogreen","41","371","Tudo sobre Esportes com as melhores cotações na Lotogreen. Somos uma operadora licenciada focada na transparência e segurança do apostador. Entre no jogo! Apenas 18+. Jogo Responsável.","184","1213","","0","","0","Apostas","7","Comunidade","10","index, follow","","","https://lotogreen.bet.br/sports","","","","","","170187","48966","48966","7,257","","18","12","1,500","0,000","Very Hard","0,964","1","0","","336","67","0","100,000","52","36","0","14","12","0","","","","","376a20ceefaa7989539527cd4ad15df","0,500","","","","","pt-BR","1.1","","","","","","https://lotogreen.bet.br/sports","2026-09-02 12:19:22"
