"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://goldebet.bet.br/_nuxt/entry.CsD73ZDA.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,012","Sat, 29 Aug 2026 23:05:06 GMT","","","","","1.1","","","","","","https://goldebet.bet.br/_nuxt/entry.CsD73ZDA.css","2026-09-02 12:17:33"
"https://goldebet.bet.br/cdn-cgi/l/email-protection","text/html","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","2","","72","66","0","100,000","0","0","0","0","0","0","","","","","","0,021","","","","","","1.1","","","","","","https://goldebet.bet.br/cdn-cgi/l/email-protection","2026-09-02 12:17:33"
"https://goldebet.bet.br/casino/slots","text/html;charset=utf-8","200","OK","Indexable","","Slots - Cassino Online | GOLDEBET","33","307","Jogue slots online com segurança na Goldebet. Diversos jogos e prêmios. Proibido para menores de 18 anos.","105","672","","0","","0","Apostas","7","Comunidade","10","index, follow","","","https://goldebet.bet.br/casino/slots","","","","","","189938","47007","47007","6,966","","75","40","1,875","41,372","Hard","1,063","1","1","","209","66","0","100,000","56","39","0","12","11","0","","","","","55428149590e4455d96692382b2da791","0,487","","","","","pt-BR","1.1","","","","","","https://goldebet.bet.br/casino/slots","2026-09-02 12:17:32"
"https://goldebet.bet.br/IBIA-WHITE.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,156","Mon, 27 Jul 2026 21:38:20 GMT","","","","","1.1","","","","","","https://goldebet.bet.br/IBIA-WHITE.svg","2026-09-02 12:17:33"
"https://goldebet.bet.br/verifyRA.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,050","Mon, 27 Jul 2026 21:38:20 GMT","","","","","1.1","","","","","","https://goldebet.bet.br/verifyRA.svg","2026-09-02 12:17:33"
"https://goldebet.bet.br/_nuxt/Alerts.DN1m4X9G.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,050","Sat, 29 Aug 2026 23:05:06 GMT","","","","","1.1","","","","","","https://goldebet.bet.br/_nuxt/Alerts.DN1m4X9G.css","2026-09-02 12:17:33"
"https://goldebet.bet.br/sports/futebol/s-66","text/html;charset=utf-8","200","OK","Indexable","","Futebol - Apostas esportivas | GOLDEBET","39","367","Tudo sobre Futebol com as melhores cotações na GOLDEBET. Somos uma operadora licenciada focada na transparência e segurança do apostador. Entre no jogo! Apenas 18+. Jogo Responsável.","182","1211","","0","","0","Apostas","7","Comunidade","10","index, follow","","","https://goldebet.bet.br/sports/futebol/s-66","","","","","","165612","45017","45017","6,672","","66","37","1,784","34,543","Hard","1,170","1","2","","66","66","0","100,000","50","34","0","12","11","0","","","","","c58428645e27a8f85a70a3d3dbc4ba33","0,446","","","","","pt-BR","1.1","","","","","","https://goldebet.bet.br/sports/futebol/s-66","2026-09-02 12:17:33"
"https://goldebet.bet.br/play/evolution-oss/football-studio","text/html;charset=utf-8","200","OK","Indexable","","Jogos de Cassino Football Studio - Evolution Oss | GOLDEBET","59","546","Experimente Football Studio na GOLDEBET. Sua plataforma de cassino online com alta tecnologia, pagamentos rápidos e 100% regulamentada. Segurança máxima para sua diversão. Proibido para menores de 18 anos. Jogue com responsabilidade.","233","1533","","0","","0","Apostas","7","Comunidade","10","index, follow","","","https://goldebet.bet.br/play/evolution-oss/football-studio","","","","","","165975","44796","44796","6,639","","64","36","1,778","38,474","Hard","1,186","1","2","","1","1","0","1,520","52","36","0","12","11","0","","","","","3acd61a8c06208d3afada24c1776798b","0,456","","","","","pt-BR","1.1","","","","","","https://goldebet.bet.br/play/evolution-oss/football-studio","2026-09-02 12:17:33"
"https://goldebet.bet.br/play/pragmatic/one-blackjack-1","text/html;charset=utf-8","200","OK","Indexable","","Fortune Tiger - Pg Soft | GOLDEBET","34","315","Jogue Fortune Tiger na Goldebet com segurança. Slot popular da PG Soft. Proibido para menores de 18 anos.","105","677","","0","","0","Apostas","7","Comunidade","10","index, follow","","","https://goldebet.bet.br/play/pragmatic/one-blackjack-1","","","","","","165864","44955","44955","6,662","","64","36","1,778","38,474","Hard","1,185","1","2","","67","66","0","100,000","52","36","0","12","11","0","","","","","95e55b857fea5a32a066cd3bd448eebe","0,473","","","","","pt-BR","1.1","","","","","","https://goldebet.bet.br/play/pragmatic/one-blackjack-1","2026-09-02 12:17:33"
"https://goldebet.bet.br/funds-and-transactions-policy","text/html;charset=utf-8","200","OK","Non-Indexable","Canonicalised","Funds And Transactions Policy","29","273","INTRODUÇÃO A presente Política de Fundos e Transações Financeiras (“Política”) define as diretrizes e regras aplicáveis aos depósitos, saques e movimentaçõ...","158","990","","0","","0","4. TRANSAÇÕES FINANCEIRAS","25","5. GESTÃO DAS CONTAS GRÁFICAS, TRANSACIONAL E PROPRIETÁRIA","58","index, follow","","","http://localhost/funds-and-transactions-policy","","","","","","205046","57129","57129","8,467","","2148","316","6,797","18,447","Very Hard","7,979","1","0","","66","66","0","100,000","51","34","0","12","11","0","","","","","aef1e2d8f79f830374e796085709ce5d","0,072","Sun, 30 Aug 2026 16:13:29 GMT","","","","pt-BR","1.1","","","","","","https://goldebet.bet.br/funds-and-transactions-policy","2026-09-02 12:17:33"
